username;mentions
Happpylawyer;
AnnoMienie;VogelvrijeHArts
roepme;
zuid_as;AHeeren
ArieBeen;
RealDutchRoots;
Georgeberger;VogelvrijeHArts
majamathea;JacquesBrisant
Foxmeister_;
NurullahGerdan;ArnoldYasinMol
jackvddussen;thiessenmark
jackvddussen;thiessenmark
Foxmeister_;
roepme;
LisetMeddens;VincentKagie
niektosseram;MajaMischke
ankiedols;NOS
erikvzuylen;JanHoedeman
pittoresq;BonteRaaf
fuut_ruud;VincentKagie
Els2703;nynke
jacoblagendijk;bartlup
chriskuipers;marjolijn1994
RonBagchus;Blondemevrouw1
nienkebuijser;bartlup
hermenjanrijks;Fossielvrij,gertjansegers,mariannethieme
frankdeviking;Holavista
Gremmen;bartlup
75e8534ce23b45f;bartlup
fuut_ruud;PaulVermast,gertjansegers,jesseklaver
RHoogenboom;basvandervoort,emileroemer
PinkAvis;FoughtyWilliam
NapelLukas;ackumar070,gertjansegers
Oosterbaan1;VogelvrijeHArts
NapelLukas;ljansedejong,gertjansegers,christenunie
Gerbijl;EWdeVlieger
JoMaas;ClariceGargard
hermenjanrijks;
roepme;
pietvanlingen;JorisW_GP
Aukelien28;VogelvrijeHArts
fuut_ruud;Fossielvrij,gertjansegers,mariannethieme
chriskuipers;sybrandbuma
audiodescriptie;
MarjavanCaem;FLUYTKETEL
apstevenson68;NOS
Arnoudproos;Arnoudproos
BastiaanVdl;bartlup
Peter26061980;WouterBooij
fuut_ruud;paulinewes,markrutte,jesseklaver
cordebra;GoogleNL
JohanGrijzen;petervheemst
Ramoon_74;strandjutter_
hampybuitenspor;thiessenmark
RonaldVennik;keeskraaijeveld,emileroemer
_dark_doctor_12;EWdeVlieger
BarbaraVVD;thiessenmark
DoProCarpay;
EdHarms;Niiwino
valk1955;VogelvrijeHArts
GLHollandsKroon;JanHoedeman
cadelange;jeroenfritz
CARTOONISThugo;EWdeVlieger,APechtold
kajuitskok;Blondemevrouw1
Bushcraft_Mouse;YidArmyNL,geertwilderspvv
FixJeDas;waaromweetikdit
PinkAvis;32YmmoT
CramerKees;EWdeVlieger
Ledelay;ackumar070,gertjansegers
NJZuidam;LiseWitteman
vermorken;thiessenmark
JandeVriesD66;D66,piadijkstra
mattijs_;bartlup
DorstigeGier;RotterdamReport,Barracudablog,nandoecolumnist
audiodescriptie;
Ramoon_74;GoogleNL
fineshrvne;bartlup
grodenburg;bartlup
djaarlim;bartlup
cordebra;uri4u,LodewijkA,PvdA
Dropje777;nynke
JotLubberdink;roosschlikker
JoMaas;GoogleNL
nederlandblind;EWdeVlieger,APechtold
kruidje;VogelvrijeHArts
whateverhewants;pino_chetsnek,thierrybaudet
HHaagsman;EWdeVlieger,APechtold
buddendorf;EWdeVlieger,APechtold
toosbierhoff;nynke
Bijan63;NOS
volgzwijn;marlaila
stellientje;CoenvdVen
volgzwijn;Holavista
Juynovic;bartlup
guusjeterhorst;pieterkleinrtl,NOS
BloggendBewegen;marjolijn1994
hjkaptijn;Arnoudproos
AltNieuws;BlikopNOS,APechtold
oscargroothuis;bartvanmerwijk_
PvdA_Beemster;jeroenfritz
kajuitskok;EWdeVlieger
PvdA_Beemster;jeroenfritz
MVerhoef1964;EWdeVlieger
MvSandick;cdavandaag
Rob_Aerts;bartlup
MarleenSp1;bartlup
JanBertHeinen;Arnoudproos
henktem;Arnoudproos
SaniyeCalkin;bartlup
JorisBerkhof;NOS,MarcelGelauff
jobboersma;VogelvrijeHArts
PvdA_Beemster;WouterBooij
TonHeerschop;TheoJans1
blij_e;bartlup
EdenburgJoan;GoogleNL
timknol;
JPScheffer;VogelvrijeHArts
Mick2117;32YmmoT
Grannny63;VogelvrijeHArts
dbballak;NOS
HarrieMiedema;JanHoedeman
AGvdJ;TabithavdBerg,mrelinevantijn
TaxiArie;Thijswnl
spacema09104056;GoogleNL
AltNieuws;BlikopNOS
CWO97;bartlup
AlwinHietbrink;JanHoedeman
TimVanHengel;WebMerel
DePauwPieter;alexisleenders
Taalspinsels;bartlup
Dulfera;petervheemst
NJZuidam;cdavandaag
WvRtweet;Amma_Asante
nicolevoers;saskiamsterdam
JonasRoothans;LisetMeddens
MBaghuis;Energiecomm,mariannethieme,PartijvdDieren
robbouhuis;bartlup
jenientje;bartlup
GodelieveTT;geertwilderspvv
C_Groenendijk;VogelvrijeHArts
klaassenmarja;GoogleNL
valk1955;VogelvrijeHArts
_Frzr;bartlup
okkodijkstra;waltervanpeijpe,gertjansegers,christenunie
ivo_bos;waaromweetikdit
majamathea;VogelvrijeHArts
steefaki;pvdmeersch
LoesDeur;pvdmeersch
JackTsang42;JanHoedeman
JackMarsman;EWdeVlieger
MikeTekstBeeld;bartlup
hans_visscher;
LoesDeur;ewoudbutter
NicoNijenhuis;DannyMekic
NJZuidam;cdavandaag
TaxiArie;Thijswnl
ahtlam;EWdeVlieger
AltenaB;Grummels,ncilla,thierrybaudet
007luuk;bartlup
SjaQweer;bartlup
BochovePvdA;
Thmasgrr;bartlup
JackTsang42;petervheemst
tarkusnl;EWdeVlieger
handbalfun;
HenkSchuster;mvanhulten
RuijgRock;nynke
valk1955;naatdefeo
teunzijp;bartlup
Joov;bartlup
Nina_Marije;bartlup
C_Boekhoudt;mvanhulten
depassant;Holavista
stellientje;VogelvrijeHArts
JenipiHebinck;bartlup
script_lady;32YmmoT
_Stijlvol_;olle010,thierrybaudet,fvdemocratie
onenicenurse;strandjutter_
kanny081995;olle010,thierrybaudet,fvdemocratie
Vlimmenzeist;GoogleNL
svenjense;Energiecomm,gertjansegers
thewis_kooistra;GoogleNL
